PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_30_AlWajh5_8,2018_July_30,388220,14,14,24,30.33,31.94,CHL,30.33,31.69,CHL,30.50,30.62,CHL,30.50,30.44,HTR,
2018_July_30_AlWajh5_8,2018_July_30,393681,14,14,30,30.33,31.94,CHL,30.33,31.69,CHL,30.50,30.62,CHL,30.50,30.44,HTR,
2018_July_30_AlWajh5_8,2018_July_30,399138,14,14,35,30.33,31.94,CHL,30.33,31.69,CHL,30.50,30.56,HTR,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,404603,14,14,40,30.33,31.94,CHL,30.33,31.69,CHL,30.50,30.56,CHL,30.50,30.44,HTR,
2018_July_30_AlWajh5_8,2018_July_30,410061,14,14,46,30.33,31.94,CHL,30.33,31.62,CHL,30.50,30.56,CHL,30.50,30.44,HTR,
2018_July_30_AlWajh5_8,2018_July_30,415518,14,14,51,30.33,31.87,CHL,30.33,31.62,CHL,30.50,30.56,CHL,30.50,30.44,HTR,
2018_July_30_AlWajh5_8,2018_July_30,420980,14,14,57,30.33,31.87,CHL,30.33,31.62,CHL,30.50,30.56,CHL,30.50,30.44,HTR,
2018_July_30_AlWajh5_8,2018_July_30,426436,14,15,2,30.33,31.87,CHL,30.33,31.62,CHL,30.50,30.56,CHL,30.50,30.44,HTR,
2018_July_30_AlWajh5_8,2018_July_30,431892,14,15,8,30.33,31.87,CHL,30.33,31.62,CHL,30.50,30.56,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,437350,14,15,13,30.33,31.87,CHL,30.33,31.62,CHL,30.50,30.56,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,442812,14,15,19,30.50,31.87,CHL,30.50,31.62,CHL,30.75,30.56,HTR,30.75,30.50,HTR,
2018_July_30_AlWajh5_8,2018_July_30,448531,14,15,24,30.50,31.87,CHL,30.50,31.62,CHL,30.75,30.50,HTR,30.75,30.50,HTR,
2018_July_30_AlWajh5_8,2018_July_30,453989,14,15,30,30.50,31.87,CHL,30.50,31.62,CHL,30.75,30.50,HTR,30.75,30.50,HTR,
2018_July_30_AlWajh5_8,2018_July_30,459446,14,15,35,30.50,31.87,CHL,30.50,31.56,CHL,30.75,30.50,HTR,30.75,30.50,HTR,
2018_July_30_AlWajh5_8,2018_July_30,464907,14,15,41,30.50,31.81,CHL,30.50,31.56,CHL,30.75,30.50,HTR,30.75,30.50,HTR,
2018_July_30_AlWajh5_8,2018_July_30,470364,14,15,46,30.50,31.87,CHL,30.50,31.56,CHL,30.75,30.50,HTR,30.75,30.50,HTR,
2018_July_30_AlWajh5_8,2018_July_30,475821,14,15,52,30.50,31.81,CHL,30.50,31.56,CHL,30.75,30.50,HTR,30.75,30.50,HTR,
2018_July_30_AlWajh5_8,2018_July_30,481277,14,15,57,30.50,31.81,CHL,30.50,31.56,CHL,30.75,30.50,HTR,30.75,30.56,CHL,
2018_July_30_AlWajh5_8,2018_July_30,486734,14,16,3,30.50,31.81,CHL,30.50,31.56,CHL,30.75,30.50,HTR,30.75,30.56,HTR,
2018_July_30_AlWajh5_8,2018_July_30,492195,14,16,8,30.50,31.81,CHL,30.50,31.56,CHL,30.75,30.56,CHL,30.75,30.56,HTR,
2018_July_30_AlWajh5_8,2018_July_30,497652,14,16,14,30.50,31.81,CHL,30.50,31.50,CHL,30.75,30.56,HTR,30.75,30.56,HTR,
2018_July_30_AlWajh5_8,2018_July_30,503108,14,16,20,30.50,31.81,CHL,30.50,31.50,CHL,30.75,30.56,HTR,30.75,30.56,HTR,
2018_July_30_AlWajh5_8,2018_July_30,509930,14,16,26,30.50,31.75,CHL,30.50,31.50,CHL,30.75,30.56,HTR,30.75,30.62,CHL,
2018_July_30_AlWajh5_8,2018_July_30,515393,14,16,31,30.50,31.81,CHL,30.50,31.50,CHL,30.75,30.56,HTR,30.75,30.62,HTR,
2018_July_30_AlWajh5_8,2018_July_30,520850,14,16,37,30.50,31.75,CHL,30.50,31.50,CHL,30.75,30.56,HTR,30.75,30.62,HTR,
2018_July_30_AlWajh5_8,2018_July_30,526307,14,16,42,30.50,31.75,CHL,30.50,31.50,CHL,30.75,30.56,HTR,30.75,30.62,HTR,
