Label,Site,Species,Geno,Temp,Replicate,Bleaching_score_GP,Bleaching_score_AC,Bleaching_score_CB,Median
YS1-36B,Yanbu,Stylophora,1,36,B,0,40,20,20
YS1-39A,Yanbu,Stylophora,1,39,A,0,0,0,0
YS1-39B,Yanbu,Stylophora,1,39,B,20,40,20,20
YS2-30A,Yanbu,Stylophora,2,30,A,NA,NA,NA,NA
YS2-30B,Yanbu,Stylophora,2,30,B,100,100,100,100
YS2-33A,Yanbu,Stylophora,2,33,A,100,100,100,100
YS2-33B,Yanbu,Stylophora,2,33,B,100,100,100,100
YS2-36A,Yanbu,Stylophora,2,36,A,60,80,80,80
YS2-36B,Yanbu,Stylophora,2,36,B,20,60,40,40
YS2-39A,Yanbu,Stylophora,2,39,A,20,60,20,20
YS2-39B,Yanbu,Stylophora,2,39,B,0,0,0,0
YS3-30A,Yanbu,Stylophora,3,30,A,NA,NA,NA,NA
YS3-30B,Yanbu,Stylophora,3,30,B,100,100,100,100
YS3-33A,Yanbu,Stylophora,3,33,A,60,80,60,60
YS3-33B,Yanbu,Stylophora,3,33,B,60,80,80,80
YS3-36A,Yanbu,Stylophora,3,36,A,0,20,0,0
YS3-36B,Yanbu,Stylophora,3,36,B,0,40,20,20
YS3-39A,Yanbu,Stylophora,3,39,A,0,20,0,0
YS3-39B,Yanbu,Stylophora,3,39,B,0,0,0,0
YS4-30A,Yanbu,Stylophora,4,30,A,NA,NA,NA,NA
YS4-30B,Yanbu,Stylophora,4,30,B,100,80,100,100
YS4-33A,Yanbu,Stylophora,4,33,A,60,80,60,60
YS4-33B,Yanbu,Stylophora,4,33,B,60,80,80,80
YS4-36A,Yanbu,Stylophora,4,36,A,0,20,20,20
YS4-36B,Yanbu,Stylophora,4,36,B,0,20,20,20
YS4-39A,Yanbu,Stylophora,4,39,A,0,0,0,0
YS4-39B,Yanbu,Stylophora,4,39,B,0,20,0,0
YS5-30A,Yanbu,Stylophora,5,30,A,NA,NA,NA,NA
YS5-30B,Yanbu,Stylophora,5,30,B,100,100,100,100
YS5-33A,Yanbu,Stylophora,5,33,A,100,100,100,100
YS5-33B,Yanbu,Stylophora,5,33,B,80,80,100,80
YS5-36A,Yanbu,Stylophora,5,36,A,0,0,20,0
YS5-36B,Yanbu,Stylophora,5,36,B,20,20,20,20
YS5-39A,Yanbu,Stylophora,5,39,A,0,20,0,0
YS5-39B,Yanbu,Stylophora,5,39,B,0,20,0,0
YS6-30A,Yanbu,Stylophora,6,30,A,NA,NA,NA,NA
YS6-30B,Yanbu,Stylophora,6,30,B,100,100,100,100
YS6-33A,Yanbu,Stylophora,6,33,A,100,100,100,100
YS6-33B,Yanbu,Stylophora,6,33,B,100,80,100,100
YS6-36A,Yanbu,Stylophora,6,36,A,20,40,60,40
YS6-36B,Yanbu,Stylophora,6,36,B,0,20,20,20
YS6-39A,Yanbu,Stylophora,6,39,A,0,20,0,0
YS6-39B,Yanbu,Stylophora,6,39,B,0,0,0,0
YS7-30A,Yanbu,Stylophora,7,30,A,NA,NA,NA,NA
YS7-30B,Yanbu,Stylophora,7,30,B,100,100,100,100
YS7-33A,Yanbu,Stylophora,7,33,A,40,80,80,80
YS7-33B,Yanbu,Stylophora,7,33,B,80,80,80,80
YS7-36A,Yanbu,Stylophora,7,36,A,40,60,60,60
YS7-36B,Yanbu,Stylophora,7,36,B,20,40,40,40
YS7-39A,Yanbu,Stylophora,7,39,A,0,20,0,0
YS7-39B,Yanbu,Stylophora,7,39,B,0,0,0,0
KA1-30A,AlFahal,Acropora,1,30,A,100,100,100,100
KA2-30A,AlFahal,Acropora,2,30,A,80,80,80,80
KA3-30A,AlFahal,Acropora,3,30,A,100,100,100,100
KA4-30A,AlFahal,Acropora,4,30,A,100,100,100,100
KA5-30A,AlFahal,Acropora,5,30,A,100,100,100,100
KA6-30A,AlFahal,Acropora,6,30,A,100,100,100,100
KA7-30A,AlFahal,Acropora,7,30,A,100,100,100,100
KA1-30B,AlFahal,Acropora,1,30,B,100,100,100,100
KA2-30B,AlFahal,Acropora,2,30,B,40,40,40,40
KA3-30B,AlFahal,Acropora,3,30,B,100,100,100,100
KA4-30B,AlFahal,Acropora,4,30,B,100,100,100,100
KA5-30B,AlFahal,Acropora,5,30,B,100,100,100,100
KA6-30B,AlFahal,Acropora,6,30,B,100,100,100,100
KA7-30B,AlFahal,Acropora,7,30,B,100,100,100,100
KA1-33A,AlFahal,Acropora,1,33,A,80,80,60,80
KA2-33A,AlFahal,Acropora,2,33,A,80,80,60,80
KA3-33A,AlFahal,Acropora,3,33,A,100,100,100,100
KA4-33A,AlFahal,Acropora,4,33,A,100,100,100,100
KA5-33A,AlFahal,Acropora,5,33,A,100,100,100,100
KA6-33A,AlFahal,Acropora,6,33,A,100,100,100,100
KA7-33A,AlFahal,Acropora,7,33,A,100,100,100,100
KA1-33B,AlFahal,Acropora,1,33,B,80,80,80,80
KA2-33B,AlFahal,Acropora,2,33,B,20,20,20,20
KA3-33B,AlFahal,Acropora,3,33,B,20,20,20,20
KA4-33B,AlFahal,Acropora,4,33,B,100,100,80,100
KA5-33B,AlFahal,Acropora,5,33,B,100,100,80,100
KA6-33B,AlFahal,Acropora,6,33,B,100,100,80,100
KA7-33B,AlFahal,Acropora,7,33,B,100,100,80,100
KA1-36A,AlFahal,Acropora,1,36,A,80,60,40,60
KA2-36A,AlFahal,Acropora,2,36,A,20,20,20,20
KA3-36A,AlFahal,Acropora,3,36,A,60,40,40,40
KA4-36A,AlFahal,Acropora,4,36,A,100,100,80,100
KA5-36A,AlFahal,Acropora,5,36,A,80,80,60,80
KA6-36A,AlFahal,Acropora,6,36,A,80,100,60,80
KA7-36A,AlFahal,Acropora,7,36,A,100,100,60,100
KA1-36B,AlFahal,Acropora,1,36,B,0,0,0,0
KA2-36B,AlFahal,Acropora,2,36,B,20,20,20,20
KA3-36B,AlFahal,Acropora,3,36,B,20,20,20,20
KA4-36B,AlFahal,Acropora,4,36,B,60,60,40,60
KA5-36B,AlFahal,Acropora,5,36,B,40,60,40,40
KA6-36B,AlFahal,Acropora,6,36,B,20,60,40,40
KA7-36B,AlFahal,Acropora,7,36,B,60,80,40,60
KA1-39A,AlFahal,Acropora,1,39,A,20,20,0,20
KA2-39A,AlFahal,Acropora,2,39,A,20,40,20,20
KA3-39A,AlFahal,Acropora,3,39,A,0,0,0,0
KA4-39A,AlFahal,Acropora,4,39,A,20,20,20,20
KA5-39A,AlFahal,Acropora,5,39,A,0,0,0,0
KA6-39A,AlFahal,Acropora,6,39,A,0,20,20,20
KA7-39A,AlFahal,Acropora,7,39,A,0,20,20,20
KA1-39B,AlFahal,Acropora,1,39,B,0,20,20,20
KA2-39B,AlFahal,Acropora,2,39,B,0,20,20,20
KA3-39B,AlFahal,Acropora,3,39,B,0,20,20,20
KA4-39B,AlFahal,Acropora,4,39,B,0,40,20,20
KA5-39B,AlFahal,Acropora,5,39,B,0,0,0,0
KA6-39B,AlFahal,Acropora,6,39,B,20,40,20,20
KA7-39B,AlFahal,Acropora,7,39,B,0,20,20,20
WA1-30A,AlWajh,Acropora,1,30,A,100,100,100,100
WA2-30A,AlWajh,Acropora,2,30,A,100,100,100,100
WA3-30A,AlWajh,Acropora,3,30,A,80,100,100,100
WA4-30A,AlWajh,Acropora,4,30,A,100,100,100,100
WA5-30A,AlWajh,Acropora,5,30,A,80,100,100,100
WA6-30A,AlWajh,Acropora,6,30,A,80,100,100,100
WA7-30A,AlWajh,Acropora,7,30,A,100,100,100,100
WA1-30B,AlWajh,Acropora,1,30,B,100,100,100,100
WA2-30B,AlWajh,Acropora,2,30,B,80,80,100,80
WA3-30B,AlWajh,Acropora,3,30,B,80,60,100,80
WA4-30B,AlWajh,Acropora,4,30,B,100,80,100,100
WA5-30B,AlWajh,Acropora,5,30,B,80,80,100,80
WA6-30B,AlWajh,Acropora,6,30,B,60,60,80,60
WA7-30B,AlWajh,Acropora,7,30,B,100,100,100,100
WA1-33A,AlWajh,Acropora,1,33,A,100,100,100,100
