Site,Temp,Species,Geno,Rep,Label,Chl_cm2
Al Qunfudhah,30,Porites,1,A,QL1-30A,2.868
Al Qunfudhah,30,Porites,2,A,QL2-30A,4.866
Al Qunfudhah,30,Porites,3,A,QL3-30A,3.266
Al Qunfudhah,30,Porites,4,A,QL4-30A,1.846
Al Qunfudhah,30,Porites,5,A,QL5-30A,3.706
Al Qunfudhah,30,Porites,6,A,QL6-30A,4.876
Al Qunfudhah,30,Porites,7,A,QL7-30A,4.465
Al Qunfudhah,33,Porites,1,A,QL1-33A,2.36
Al Qunfudhah,33,Porites,2,A,QL2-33A,4.862
Al Qunfudhah,33,Porites,3,A,QL3-33A,1.938
Al Qunfudhah,33,Porites,4,A,QL4-33A,2.042
Al Qunfudhah,33,Porites,5,A,QL5-33A,5.879
Al Qunfudhah,33,Porites,6,A,QL6-33A,3.04
Al Qunfudhah,33,Porites,7,A,QL7-33A,3.867
Al Qunfudhah,36,Porites,1,A,QL1-36A,1.86
Al Qunfudhah,36,Porites,2,A,QL2-36A,2.123
Al Qunfudhah,36,Porites,3,A,QL3-36A,1.905
Al Qunfudhah,36,Porites,4,A,QL4-36A,2.899
Al Qunfudhah,36,Porites,5,A,QL5-36A,1.583
Al Qunfudhah,36,Porites,6,A,QL6-36A,2.759
Al Qunfudhah,36,Porites,7,A,QL7-36A,1.818
Al Qunfudhah,39,Porites,1,A,QL1-39A,3.702
Al Qunfudhah,39,Porites,2,A,QL2-39A,1.776
Al Qunfudhah,39,Porites,3,A,QL3-39A,3.108
Al Qunfudhah,39,Porites,4,A,QL4-39A,1.547
Al Qunfudhah,39,Porites,5,A,QL5-39A,3.314
Al Qunfudhah,39,Porites,6,A,QL6-39A,6.232
Al Qunfudhah,39,Porites,7,A,QL7-39A,4.498
AlFahal,30,Porites,1,A,KL1-30A,4.074
AlFahal,30,Porites,2,A,KL2-30A,5.207
AlFahal,30,Porites,3,A,KL3-30A,9.971
AlFahal,30,Porites,4,A,KL4-30A,4.446
AlFahal,30,Porites,5,A,KL5-30A,4.601
AlFahal,30,Porites,6,A,KL6-30A,6.589
AlFahal,30,Porites,7,A,KL7-30A,3.99
AlFahal,33,Porites,1,A,KL1-33A,4.468
AlFahal,33,Porites,2,A,KL2-33A,2.869
AlFahal,33,Porites,3,A,KL3-33A,7.385
AlFahal,33,Porites,4,A,KL4-33A,4.493
AlFahal,33,Porites,5,A,KL5-33A,3.658
AlFahal,33,Porites,6,A,KL6-33A,3.525
AlFahal,33,Porites,7,A,KL7-33A,3.608
AlFahal,36,Porites,1,A,KL1-36A,3.148
AlFahal,36,Porites,2,A,KL2-36A,4.027
AlFahal,36,Porites,3,A,KL3-36A,5.754
AlFahal,36,Porites,4,A,KL4-36A,5.04
AlFahal,36,Porites,5,A,KL5-36A,4.15
AlFahal,36,Porites,6,A,KL6-36A,3.828
AlFahal,36,Porites,7,A,KL7-36A,2.029
AlFahal,39,Porites,1,A,KL1-39A,3.38
AlFahal,39,Porites,2,A,KL2-39A,5.649
AlFahal,39,Porites,3,A,KL3-39A,6.928
AlFahal,39,Porites,4,A,KL4-39A,1.367
AlFahal,39,Porites,5,A,KL5-39A,3.514
AlFahal,39,Porites,6,A,KL6-39A,4.206
AlFahal,39,Porites,7,A,KL7-39A,2.452
Yanbu,30,Porites,1,A,YL1-30A,1.875
Yanbu,30,Porites,2,A,YL2-30A,2.618
Yanbu,30,Porites,3,A,YL3-30A,1.991
Yanbu,30,Porites,4,A,YL4-30A,2.372
Yanbu,30,Porites,5,A,YL5-30A,2.756
Yanbu,30,Porites,6,A,YL6-30A,4.666
Yanbu,30,Porites,7,A,YL7-30A,3.877
Yanbu,33,Porites,1,A,YL1-33A,2.385
Yanbu,33,Porites,2,A,YL2-33A,2.713
Yanbu,33,Porites,3,A,YL3-33A,2.228
Yanbu,33,Porites,4,A,YL4-33A,1.578
Yanbu,33,Porites,5,A,YL5-33A,2.227
Yanbu,33,Porites,6,A,YL6-33A,3.151
Yanbu,33,Porites,7,A,YL7-33A,3.424
Yanbu,36,Porites,1,A,YL1-36A,1.472
Yanbu,36,Porites,2,A,YL2-36A,2.57
